court_region,judge_id,judge_grant_rate,claim_amount,debtor_type,has_pledge,has_guarantor,case_duration,result,is_individual
Москва,judge_Москва_3,0.6868450123265756,13000.0,ООО (малое),0,0,71,1,0
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,11000.0,ФЛ,0,0,105,0,1
Москва,judge_Москва_10,0.5579831812215705,161000.0,ООО (микро),1,0,79,1,0
Нижегородская обл.,judge_Нижегородская обл._1,0.5895566969268613,3760000.0,ФЛ,1,1,143,0,1
Свердловская обл.,judge_Свердловская обл._4,0.8,532000.0,ФЛ,0,1,126,1,1
СПб,judge_СПб_2,0.7038714967614599,22000.0,ФЛ,0,0,82,0,1
Москва,judge_Москва_8,0.589257975040246,149000.0,ИП,0,0,55,0,0
Новосибирская обл.,judge_Новосибирская обл._3,0.40990419651217924,352000.0,ООО (малое),1,0,103,1,0
Краснодарский край,judge_Краснодарский край_1,0.5873184192069558,308000.0,ООО (микро),1,0,103,1,0
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,35000.0,ФЛ,0,0,125,0,1
Нижегородская обл.,judge_Нижегородская обл._6,0.642500809326077,381000.0,ФЛ,0,0,134,0,1
Москва,judge_Москва_4,0.45831731561816286,10000.0,ФЛ,0,0,91,0,1
Респ. Татарстан,judge_Респ. Татарстан_10,0.42300118919042506,1260000.0,ИП,1,0,125,1,0
Москва,judge_Москва_8,0.589257975040246,387000.0,ФЛ,0,0,65,0,1
Свердловская обл.,judge_Свердловская обл._1,0.5584023369884185,64000.0,ИП,0,0,46,0,0
Краснодарский край,judge_Краснодарский край_2,0.6331622689390035,102000.0,ФЛ,0,0,104,1,1
Нижегородская обл.,judge_Нижегородская обл._0,0.5317380518489024,142000.0,ФЛ,0,0,96,0,1
Москва,judge_Москва_3,0.6868450123265756,210000.0,ФЛ,0,0,57,0,1
Нижегородская обл.,judge_Нижегородская обл._0,0.5317380518489024,691000.0,ФЛ,0,0,124,0,1
Москва,judge_Москва_5,0.5375852819727232,90000.0,ООО (микро),0,0,80,0,0
СПб,judge_СПб_6,0.533613288350523,63000.0,ООО (микро),0,0,82,1,0
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,121000.0,ФЛ,0,1,81,1,1
Нижегородская обл.,judge_Нижегородская обл._1,0.5895566969268613,287000.0,ФЛ,0,0,59,0,1
Москва,judge_Москва_3,0.6868450123265756,483000.0,ФЛ,0,1,108,0,1
Нижегородская обл.,judge_Нижегородская обл._5,0.3314152498189945,33000.0,ФЛ,0,0,92,0,1
СПб,judge_СПб_3,0.30608941849439775,110000.0,ФЛ,0,0,76,0,1
СПб,judge_СПб_7,0.4023670306845399,216000.0,ИП,0,0,101,0,0
СПб,judge_СПб_6,0.533613288350523,217000.0,ФЛ,0,0,73,0,1
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,120000.0,ИП,0,0,110,1,0
СПб,judge_СПб_2,0.7038714967614599,195000.0,ИП,1,0,85,1,0
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,729000.0,ООО (среднее),1,0,118,1,0
Москва,judge_Москва_2,0.5973860833744824,55000.0,ИП,0,0,93,1,0
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,27000.0,ООО (микро),0,0,112,0,0
Краснодарский край,judge_Краснодарский край_4,0.6132496695867103,551000.0,ФЛ,0,0,111,0,1
Нижегородская обл.,judge_Нижегородская обл._8,0.5686827615500023,33000.0,ФЛ,0,0,87,0,1
Москва,judge_Москва_4,0.45831731561816286,1138000.0,ИП,0,0,107,0,0
Респ. Татарстан,judge_Респ. Татарстан_11,0.4934694796289753,188000.0,ООО (микро),0,0,116,0,0
Краснодарский край,judge_Краснодарский край_4,0.6132496695867103,10000.0,ФЛ,0,0,108,0,1
СПб,judge_СПб_6,0.533613288350523,145000.0,ИП,1,0,108,0,0
СПб,judge_СПб_9,0.5475544822505934,933000.0,ООО (среднее),0,0,82,1,0
Нижегородская обл.,judge_Нижегородская обл._6,0.642500809326077,399000.0,ООО (малое),0,1,120,1,0
СПб,judge_СПб_5,0.5248956031914224,42000.0,ИП,0,0,77,0,0
Новосибирская обл.,judge_Новосибирская обл._3,0.40990419651217924,36000.0,ФЛ,0,0,63,0,1
Москва,judge_Москва_2,0.5973860833744824,149000.0,ФЛ,0,0,67,0,1
Нижегородская обл.,judge_Нижегородская обл._8,0.5686827615500023,211000.0,ФЛ,0,0,128,0,1
Краснодарский край,judge_Краснодарский край_3,0.6341498495163143,372000.0,ИП,1,0,117,1,0
Москва,judge_Москва_1,0.6015433072450408,112000.0,ИП,1,0,73,0,0
Москва,judge_Москва_0,0.4949765510836051,116000.0,ООО (микро),0,0,93,0,0
Краснодарский край,judge_Краснодарский край_0,0.45870486346304107,150000.0,ИП,0,0,76,0,0
Новосибирская обл.,judge_Новосибирская обл._2,0.5563547027518508,15000.0,ООО (малое),0,0,118,0,0
Нижегородская обл.,judge_Нижегородская обл._2,0.3655497225306047,1888000.0,ООО (микро),0,0,139,0,0
Новосибирская обл.,judge_Новосибирская обл._6,0.7778417276763406,538000.0,ООО (среднее),0,0,123,1,0
Москва,judge_Москва_9,0.4570815333069441,3676000.0,ФЛ,0,0,86,0,1
Краснодарский край,judge_Краснодарский край_0,0.45870486346304107,13000.0,ФЛ,0,0,99,0,1
Свердловская обл.,judge_Свердловская обл._3,0.6637988396536507,283000.0,ФЛ,0,0,85,0,1
Свердловская обл.,judge_Свердловская обл._3,0.6637988396536507,426000.0,ООО (среднее),1,0,88,1,0
Новосибирская обл.,judge_Новосибирская обл._7,0.4979754162893099,92000.0,ООО (микро),0,0,101,0,0
Нижегородская обл.,judge_Нижегородская обл._8,0.5686827615500023,144000.0,ООО (микро),0,0,91,0,0
Свердловская обл.,judge_Свердловская обл._2,0.3102321329116037,21000.0,ИП,0,1,93,0,0
Респ. Татарстан,judge_Респ. Татарстан_8,0.6082253693537969,506000.0,ООО (микро),0,1,104,1,0
СПб,judge_СПб_0,0.5340483498342926,131000.0,ФЛ,0,0,43,0,1
Краснодарский край,judge_Краснодарский край_0,0.45870486346304107,128000.0,ФЛ,0,0,85,0,1
Свердловская обл.,judge_Свердловская обл._5,0.6790459586423476,484000.0,ИП,0,0,90,1,0
Свердловская обл.,judge_Свердловская обл._4,0.8,350000.0,ООО (малое),0,0,80,1,0
Москва,judge_Москва_4,0.45831731561816286,53000.0,ООО (малое),1,0,81,1,0
Нижегородская обл.,judge_Нижегородская обл._5,0.3314152498189945,350000.0,ФЛ,0,0,74,0,1
Москва,judge_Москва_1,0.6015433072450408,356000.0,ФЛ,0,0,41,0,1
СПб,judge_СПб_4,0.6103441225038132,204000.0,ФЛ,0,1,53,0,1
Краснодарский край,judge_Краснодарский край_3,0.6341498495163143,84000.0,ООО (микро),1,0,99,1,0
Новосибирская обл.,judge_Новосибирская обл._2,0.5563547027518508,526000.0,ФЛ,0,1,156,0,1
Свердловская обл.,judge_Свердловская обл._3,0.6637988396536507,77000.0,ООО (микро),0,0,86,1,0
Нижегородская обл.,judge_Нижегородская обл._0,0.5317380518489024,37000.0,ФЛ,0,0,79,0,1
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,68000.0,ФЛ,0,1,104,0,1
СПб,judge_СПб_8,0.6986980958047201,82000.0,ООО (микро),0,0,78,1,0
Свердловская обл.,judge_Свердловская обл._6,0.5327957474080793,3331000.0,ФЛ,0,0,79,0,1
Свердловская обл.,judge_Свердловская обл._1,0.5584023369884185,39000.0,ФЛ,0,0,86,0,1
Москва,judge_Москва_8,0.589257975040246,1162000.0,ФЛ,0,0,134,0,1
СПб,judge_СПб_1,0.6962378120346018,49000.0,ИП,0,1,70,1,0
Респ. Татарстан,judge_Респ. Татарстан_10,0.42300118919042506,241000.0,ООО (микро),0,0,88,1,0
Москва,judge_Москва_4,0.45831731561816286,449000.0,ФЛ,0,0,48,0,1
СПб,judge_СПб_8,0.6986980958047201,175000.0,ООО (малое),0,0,59,1,0
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,43000.0,ФЛ,0,0,92,0,1
Нижегородская обл.,judge_Нижегородская обл._2,0.3655497225306047,1254000.0,ИП,0,1,164,0,0
Краснодарский край,judge_Краснодарский край_2,0.6331622689390035,305000.0,ИП,0,0,133,1,0
Краснодарский край,judge_Краснодарский край_1,0.5873184192069558,81000.0,ФЛ,0,0,89,1,1
Новосибирская обл.,judge_Новосибирская обл._8,0.34134336065661497,591000.0,ИП,0,0,121,0,0
Новосибирская обл.,judge_Новосибирская обл._8,0.34134336065661497,299000.0,ФЛ,0,0,50,0,1
Москва,judge_Москва_0,0.4949765510836051,30000.0,ООО (микро),0,1,90,1,0
Респ. Татарстан,judge_Респ. Татарстан_9,0.3734870114961073,464000.0,ИП,0,0,105,0,0
СПб,judge_СПб_5,0.5248956031914224,178000.0,ИП,0,0,57,0,0
СПб,judge_СПб_7,0.4023670306845399,726000.0,ФЛ,0,0,83,0,1
СПб,judge_СПб_0,0.5340483498342926,752000.0,ИП,0,0,69,0,0
Новосибирская обл.,judge_Новосибирская обл._1,0.3273509633866546,1036000.0,ИП,0,0,176,0,0
Нижегородская обл.,judge_Нижегородская обл._5,0.3314152498189945,23000.0,ФЛ,0,0,61,0,1
Москва,judge_Москва_4,0.45831731561816286,136000.0,ФЛ,0,0,87,0,1
Свердловская обл.,judge_Свердловская обл._1,0.5584023369884185,41000.0,ООО (малое),0,0,118,0,0
СПб,judge_СПб_0,0.5340483498342926,978000.0,ООО (микро),0,1,89,1,0
Москва,judge_Москва_3,0.6868450123265756,2596000.0,ООО (среднее),0,0,104,1,0
Москва,judge_Москва_9,0.4570815333069441,205000.0,ИП,0,0,57,0,0
Свердловская обл.,judge_Свердловская обл._0,0.46558243192520654,298000.0,ФЛ,0,0,91,0,1
Москва,judge_Москва_1,0.6015433072450408,334000.0,ФЛ,0,1,59,1,1
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,38000.0,ФЛ,0,0,93,1,1
Краснодарский край,judge_Краснодарский край_0,0.45870486346304107,206000.0,ООО (малое),0,1,84,1,0
Свердловская обл.,judge_Свердловская обл._6,0.5327957474080793,534000.0,ФЛ,0,0,127,0,1
Нижегородская обл.,judge_Нижегородская обл._8,0.5686827615500023,109000.0,ФЛ,0,0,94,0,1
Нижегородская обл.,judge_Нижегородская обл._2,0.3655497225306047,138000.0,ФЛ,0,0,109,0,1
СПб,judge_СПб_2,0.7038714967614599,811000.0,ИП,0,0,116,1,0
Новосибирская обл.,judge_Новосибирская обл._7,0.4979754162893099,2411000.0,ФЛ,0,0,161,0,1
Свердловская обл.,judge_Свердловская обл._4,0.8,343000.0,ООО (микро),1,0,91,1,0
Новосибирская обл.,judge_Новосибирская обл._2,0.5563547027518508,200000.0,ФЛ,0,0,93,0,1
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,489000.0,ФЛ,0,0,86,0,1
Новосибирская обл.,judge_Новосибирская обл._8,0.34134336065661497,91000.0,ФЛ,0,0,130,0,1
Нижегородская обл.,judge_Нижегородская обл._6,0.642500809326077,3100000.0,ФЛ,0,0,153,0,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,176000.0,ООО (микро),0,0,78,1,0
Нижегородская обл.,judge_Нижегородская обл._8,0.5686827615500023,61000.0,ООО (микро),0,0,86,1,0
Свердловская обл.,judge_Свердловская обл._6,0.5327957474080793,2423000.0,ООО (микро),1,0,146,1,0
Краснодарский край,judge_Краснодарский край_1,0.5873184192069558,23000.0,ФЛ,0,1,97,1,1
Краснодарский край,judge_Краснодарский край_2,0.6331622689390035,322000.0,ФЛ,0,0,100,0,1
Новосибирская обл.,judge_Новосибирская обл._6,0.7778417276763406,34000.0,ФЛ,0,0,92,0,1
Респ. Татарстан,judge_Респ. Татарстан_10,0.42300118919042506,402000.0,ФЛ,0,0,123,0,1
Новосибирская обл.,judge_Новосибирская обл._5,0.4097440081655905,1265000.0,ФЛ,0,1,114,0,1
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,571000.0,ООО (микро),0,0,68,1,0
СПб,judge_СПб_8,0.6986980958047201,656000.0,ФЛ,0,0,56,0,1
СПб,judge_СПб_7,0.4023670306845399,79000.0,ИП,0,0,50,0,0
Москва,judge_Москва_1,0.6015433072450408,27000.0,ООО (среднее),0,0,50,1,0
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,198000.0,ИП,0,0,58,0,0
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,159000.0,ФЛ,0,1,97,0,1
Респ. Татарстан,judge_Респ. Татарстан_1,0.6178298186747367,420000.0,ФЛ,0,0,95,0,1
Свердловская обл.,judge_Свердловская обл._2,0.3102321329116037,115000.0,ФЛ,0,0,81,0,1
Нижегородская обл.,judge_Нижегородская обл._0,0.5317380518489024,24000.0,ФЛ,0,1,98,0,1
Свердловская обл.,judge_Свердловская обл._4,0.8,15000.0,ИП,0,0,114,1,0
Свердловская обл.,judge_Свердловская обл._4,0.8,597000.0,ООО (микро),0,0,94,1,0
Москва,judge_Москва_3,0.6868450123265756,97000.0,ООО (среднее),0,1,63,1,0
СПб,judge_СПб_9,0.5475544822505934,3817000.0,ИП,0,1,89,1,0
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,300000.0,ФЛ,0,0,109,0,1
Краснодарский край,judge_Краснодарский край_0,0.45870486346304107,150000.0,ФЛ,0,1,82,0,1
Нижегородская обл.,judge_Нижегородская обл._1,0.5895566969268613,22000.0,ФЛ,0,0,115,0,1
Краснодарский край,judge_Краснодарский край_0,0.45870486346304107,28000.0,ИП,0,0,75,0,0
Москва,judge_Москва_3,0.6868450123265756,501000.0,ИП,0,0,115,0,0
Респ. Татарстан,judge_Респ. Татарстан_1,0.6178298186747367,89000.0,ООО (микро),0,0,124,1,0
СПб,judge_СПб_0,0.5340483498342926,16000.0,ФЛ,0,1,115,0,1
Новосибирская обл.,judge_Новосибирская обл._5,0.4097440081655905,102000.0,ООО (микро),0,0,99,0,0
СПб,judge_СПб_1,0.6962378120346018,268000.0,ФЛ,0,0,89,0,1
Респ. Татарстан,judge_Респ. Татарстан_8,0.6082253693537969,65000.0,ФЛ,0,0,104,0,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,548000.0,ФЛ,1,0,115,0,1
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,68000.0,ООО (микро),0,0,88,1,0
Краснодарский край,judge_Краснодарский край_3,0.6341498495163143,159000.0,ФЛ,0,0,116,0,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,525000.0,ФЛ,1,0,127,1,1
Нижегородская обл.,judge_Нижегородская обл._8,0.5686827615500023,10000.0,ФЛ,1,1,93,0,1
Свердловская обл.,judge_Свердловская обл._1,0.5584023369884185,19000.0,ООО (микро),0,0,90,0,0
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,72000.0,ООО (среднее),0,0,104,1,0
Москва,judge_Москва_3,0.6868450123265756,57000.0,ООО (среднее),0,0,59,1,0
Новосибирская обл.,judge_Новосибирская обл._7,0.4979754162893099,156000.0,ООО (малое),0,0,69,1,0
Москва,judge_Москва_6,0.34890371102553724,55000.0,ФЛ,0,0,63,0,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,154000.0,ФЛ,1,0,130,0,1
СПб,judge_СПб_1,0.6962378120346018,106000.0,ИП,0,0,51,1,0
Москва,judge_Москва_1,0.6015433072450408,628000.0,ФЛ,0,1,71,0,1
Москва,judge_Москва_10,0.5579831812215705,72000.0,ООО (среднее),0,0,56,0,0
Краснодарский край,judge_Краснодарский край_3,0.6341498495163143,359000.0,ФЛ,0,0,118,0,1
Новосибирская обл.,judge_Новосибирская обл._5,0.4097440081655905,208000.0,ФЛ,0,0,100,0,1
СПб,judge_СПб_6,0.533613288350523,218000.0,ИП,0,0,68,0,0
Респ. Татарстан,judge_Респ. Татарстан_6,0.5128885207446222,676000.0,ФЛ,0,0,113,0,1
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,412000.0,ООО (микро),1,0,112,1,0
СПб,judge_СПб_0,0.5340483498342926,164000.0,ИП,0,0,78,0,0
Москва,judge_Москва_10,0.5579831812215705,101000.0,ФЛ,0,1,65,1,1
Москва,judge_Москва_10,0.5579831812215705,179000.0,ФЛ,0,0,112,0,1
Респ. Татарстан,judge_Респ. Татарстан_10,0.42300118919042506,49000.0,ИП,0,1,97,0,0
Свердловская обл.,judge_Свердловская обл._0,0.46558243192520654,90000.0,ФЛ,0,0,77,0,1
Москва,judge_Москва_0,0.4949765510836051,342000.0,ООО (микро),0,0,83,0,0
Москва,judge_Москва_6,0.34890371102553724,2483000.0,ИП,1,0,107,0,0
Нижегородская обл.,judge_Нижегородская обл._5,0.3314152498189945,301000.0,ИП,0,0,72,0,0
Новосибирская обл.,judge_Новосибирская обл._1,0.3273509633866546,34000.0,ФЛ,0,1,108,0,1
Москва,judge_Москва_3,0.6868450123265756,117000.0,ООО (малое),0,0,56,1,0
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,71000.0,ФЛ,0,1,75,0,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,190000.0,ИП,0,0,80,0,0
Москва,judge_Москва_8,0.589257975040246,186000.0,ООО (микро),0,0,67,1,0
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,312000.0,ФЛ,1,0,115,1,1
СПб,judge_СПб_2,0.7038714967614599,339000.0,ФЛ,0,1,62,1,1
Москва,judge_Москва_6,0.34890371102553724,286000.0,ООО (среднее),0,0,102,0,0
Свердловская обл.,judge_Свердловская обл._1,0.5584023369884185,209000.0,ИП,0,0,68,0,0
Респ. Татарстан,judge_Респ. Татарстан_4,0.7462656674021114,128000.0,ООО (малое),0,0,87,1,0
Москва,judge_Москва_7,0.5007196575036572,71000.0,ФЛ,1,0,37,0,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,1087000.0,ООО (микро),0,0,133,0,0
СПб,judge_СПб_1,0.6962378120346018,282000.0,ООО (малое),0,0,101,1,0
Москва,judge_Москва_7,0.5007196575036572,35000.0,ФЛ,0,0,57,0,1
Москва,judge_Москва_8,0.589257975040246,47000.0,ФЛ,0,0,67,0,1
Краснодарский край,judge_Краснодарский край_0,0.45870486346304107,52000.0,ИП,0,0,67,0,0
Свердловская обл.,judge_Свердловская обл._0,0.46558243192520654,583000.0,ФЛ,0,0,169,0,1
Москва,judge_Москва_10,0.5579831812215705,828000.0,ООО (микро),0,1,71,1,0
СПб,judge_СПб_8,0.6986980958047201,85000.0,ООО (среднее),0,0,57,1,0
Нижегородская обл.,judge_Нижегородская обл._0,0.5317380518489024,260000.0,ФЛ,0,0,74,0,1
Нижегородская обл.,judge_Нижегородская обл._1,0.5895566969268613,36000.0,ФЛ,0,1,95,0,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,227000.0,ФЛ,0,0,104,0,1
Москва,judge_Москва_2,0.5973860833744824,568000.0,ФЛ,0,1,102,0,1
Краснодарский край,judge_Краснодарский край_3,0.6341498495163143,278000.0,ФЛ,0,0,65,0,1
СПб,judge_СПб_7,0.4023670306845399,258000.0,ФЛ,0,0,57,0,1
Респ. Татарстан,judge_Респ. Татарстан_7,0.3,124000.0,ООО (малое),0,0,78,0,0
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,88000.0,ФЛ,0,0,95,0,1
Нижегородская обл.,judge_Нижегородская обл._6,0.642500809326077,25000.0,ФЛ,0,0,61,1,1
Новосибирская обл.,judge_Новосибирская обл._0,0.5533326975683648,103000.0,ФЛ,0,0,100,0,1
Нижегородская обл.,judge_Нижегородская обл._2,0.3655497225306047,171000.0,ИП,0,0,93,0,0
Москва,judge_Москва_6,0.34890371102553724,2002000.0,ФЛ,0,0,102,0,1
СПб,judge_СПб_0,0.5340483498342926,398000.0,ИП,0,0,57,0,0
СПб,judge_СПб_6,0.533613288350523,422000.0,ООО (среднее),0,0,63,1,0
Новосибирская обл.,judge_Новосибирская обл._4,0.4562459375310085,453000.0,ИП,0,0,76,0,0
Краснодарский край,judge_Краснодарский край_3,0.6341498495163143,26000.0,ИП,0,0,67,0,0
СПб,judge_СПб_4,0.6103441225038132,107000.0,ООО (малое),0,0,66,1,0
Москва,judge_Москва_6,0.34890371102553724,616000.0,ФЛ,0,1,69,0,1
